Subjnum,gender,Firgen,famincome,SATCRDG,SATMATH,SATWRTG,SATTotal,HSGPA,ACTRead,ACTMath,ACTEngWrit,APIScore,FirstLang,HSGPAunweighted
2325,Female,300,27531,520,530,560,1610,3.52, , , ,8,English,3.17
2335,Female,0,80000,600,620,580,1800,3.86, , , ,9,EnglishandAnother,3.68
2336,Female,300,40000,600,680,610,1890,3.91, , , ,10,English,3.56
2377,Male,0,200000,800,670,710,2180,4,31,26,29,,English,3.65
2378,Male,0,60000,540,560,580,1680,3.59, , , ,10,English,3.5
2388,Female,300,35800,420,480,500,1400,3.34, , , ,5,Another,3
2432,Male,300,33301,530,530,520,1580,3.41, , , ,2,EnglishandAnother,3.08
2441,Female,300,60000,700,600,610,1910,3.63, , , ,9,English,3.27
2454,Male,0,175000,530,690,560,1780,3.69, , , ,9,EnglishandAnother,3.34
2470,Female,0,75000,620,550,520,1690,3.8, , , ,,English,3.6
2471,Female,0, ,500,670,550,1720,3.53, , , ,8,English,3.23
2487,Male,300,30000,590,660,580,1830,3.57, , , ,9,English,3.57
2488,Female,0,207000,620,560,610,1790,3.54, , , ,10,EnglishandAnother,3.3
2489,Male,300,3804,590,410,570,1570,3.42, , , ,2,English,3.04
2504,Female,0,13200,450,310,350,1110,3, , , ,4,English,2.95
2520,Male,300,47000,530,560,440,1530,4, , , ,2,English,3.66
2523,Male,300,30000,530,590,470,1590,3.3, , , ,6,EnglishandAnother,3.3
2525,Female,0,165000,540,580,550,1670,4, , , ,8,English,3.66
2546,Female,300,112000,520,560,540,1620,3.89, , , ,7,English,3.6
2548,Female,300,73000,560,500,600,1660,4.13, , , ,,Another,3.86
2552,Female,0, ,650,600,570,1820,3.62, , , ,10,Another,3.29
2561,Female,300,20000, , , , ,3.5,22,28,24,9,English,3.31
2587,Male,0,96000,500,570,430,1500,3.77, , , ,9,English,3.59
2588,Female,0,55000,470,540,430,1440,3.72,24,27,21,7,EnglishandAnother,3.45
2598,Male,300,0,430,410,500,1340,3.95, , , ,2,Another,3.57
2613,Male,300,16900,600,570,630,1800,3.23, , , ,10,Another,2.85
2630,Female,300, ,430,710,550,1690,3.64, , , , ,Another,3.64
2634,Male,0,55384, , , , ,3.88, , , , ,Another,3.88
2637,Female,0,50000,520,700,540,1760,2.95, , , , ,Another,2.95
2644,Male,300,13000,500,500,510,1510,3.52,29,21,22,1,Another,3.43
2649,Female,300,22800,600,530,580,1710,3.45, , , ,9,Another,3.09
2653,Female,0,1312, , , , ,3.04, , , , ,English,2.95
2661,Female,300,30000,530,490,480,1500,3.77,21,20, , ,English,3.59
2663,Female,0,110000,460,570,470,1500,3.7, , , ,10,EnglishandAnother,3.45
2671,Female,0,86000,630,540,570,1740,4.05, , , ,8,English,3.65
2674,Male,300,17000,590,540,480,1610,3.91, , , ,8,Another,3.66
2690,Male,0,457583,590,540,620,1750,3.71,27,23,23,8,English,3.33
2703,Female,300,10662,490,470,560,1520,3.17, , , , ,Another,3.09
2709,Male,0,500000, , , , ,3.3,32,26,31,,EnglishandAnother,3.07
2712,Female,0,140000,490,580,570,1640,3.58, , , , ,English,3.41
2721,Female,300,45000,600,540,600,1740,3.54, , , ,9,English,3.45
2761,Female,300,26400,530,450,640,1620,3.35, , , ,8,EnglishandAnother,2.92
2764,Female,0,300000,540,540,540,1620,3.7, , , ,9,English,3.5
2773,Male,300,47500,480,540,530,1550,3.81, , , , ,Another,3.63
2779,Male,300,40000,430,490,400,1320,3.45,15,24,14,6,Another,3.35
2781,Male,300,12174, , , , ,2.27, , , ,1,EnglishandAnother,2.27
2785,Female,300,6312,490,380,570,1440,3.55, , , ,7,Another,3.15
2790,Male,300,35000,520,510,450,1480,3.08, , , ,3,Another,2.79
2809,Male,300,30000, , , , ,3.2,17,16,15,4,EnglishandAnother,3.2
2821,Female,300,63000, , , , ,3.73,14,14,11,1,EnglishandAnother,3.6
2860,Female,300,28800,360,450,490,1300,3.65, , , ,4,EnglishandAnother,3.55
2881,Male,0,90000,530,580,480,1590,3.65, , , ,9,English,3.45
2884,Female,0,140000,540,470,580,1590,3.86, , , ,8,English,3.86
2904,Male,0,97804,660,710,590,1960,4.2, , , , ,English,3.87
2909,Male,0,24000,470,490,500,1460,3.6, , , ,,EnglishandAnother,3.3
2919,Female,300,27000,510,510,580,1600,3.38, , , ,3,English,3.09
2940,Female,300,26420, , , , ,3.87, , , ,8,Another,3.7
2943,Female,300,44000, , , , ,3.05, , , ,2,EnglishandAnother,2.94
2970,Male,300,49000,560,610,520,1690,3.29, , , ,9,Another,3.04
2974,Male,300,22800,500,540,490,1530,3.86, , , ,1,EnglishandAnother,3.5
2987,Male,300,12000, , , , ,2.86, , , ,6,English,2.81
2988,Male,300,33000,420,410,460,1290,3.15, , , ,1,EnglishandAnother,3.1
2990,Female,300,19717,460,440,540,1440,3.3,25,17,20,6,EnglishandAnother,2.9
2992,Male,300,90000,470,540,440,1450,3.7, , , ,1,EnglishandAnother,3.4
2994,Female,300,30000, , , , ,3.66,25,25,27,10,English,3.58
3014,Female,0,14400,420,420,400,1240,3.45, , , ,3,Another,3.12
3020,Male,0,20000,510,590,570,1670,4.04, , , ,4,English,3.7
3022,Female,0,93000,550,480,530,1560,3.12, , , ,9,English,3
3026,Female,300, ,590,550,530,1670,3.96, , , ,8,English,3.96
3048,Female,0,8000,610,650,540,1800,3.37, , , ,5,English,3.04
3091,Male,0,327787,690,700,700,2090,3.72,28,32,31,10,English,3.44
3109,Male,0,250000,480,650,570,1700,3.53,19,28,23, ,EnglishandAnother,3.26
3112,Male,300,11438,390,490,480,1360,3.69, , , ,8,EnglishandAnother,3.6
3127,Female,300,19200, , , , ,3.75,23,22,22,6,Another,3.41
3141,Male,300,90000,720,600,600,1920,3.65, , , ,10,EnglishandAnother,3.34
3142,Male,300,120000,520,440,580,1540,3.86, , , ,5,English,3.68
3145,Male,0,18375, , , , ,3.83, , , ,9,English,3.5
3151,Female,300,65056, , , , ,3.57,33,28,28,,English,3.26
3152,Female,0,39000,700,720,540,1960,3.59,28,29,24,10,EnglishandAnother,3.27
3175,Male,300,75000, , , , ,3, , , ,,EnglishandAnother,2.91
3178,Female,300,46525,400,440,450,1290,3.6,19,15,16,6,Another,3.5
3186,Male,0,55000,620,670,590,1880,3.58, , , ,4,English,3.25
3187,Male,0,400000,490,770,630,1890,3.71, , , ,,Another,3.57
3188,Female,0,16368,440,540,600,1580,3.5,25,24,22,4,EnglishandAnother,3.22
3193,Male,0,45000,590,700,600,1890,3.31, , , ,7,EnglishandAnother,3.13
3197,Female,0,140000,700,640,640,1980,3.65, , , ,10,English,3.34
3205,Male,0,10000,530,540,570,1640,2.88, , , ,,English,2.88
3225,Female,0,80000,680,660,650,1990,3.04, , , ,5,English,2.86
3238,Female,0,500000,430,550,420,1400,3.65, , , , ,Another,3.65
3240,Female,300, , , , , ,3.29,27,24,19, ,English,3.14
3245,Male,300,45000,570,740,620,1930,3.17, , , , ,Another,3.17
3261,Male,300,42000,390,450,410,1250,,21,19,17,3,Another, 
3264,Male,0,300000,430,710,450,1590,, , , , ,Another, 
3267,Male,300, ,420,570,360,1350,3.47, , , , ,EnglishandAnother,3.47
